,funding_momentum
2026-09-01 00:00:00+00:00,9814.66802252512
2026-09-02 00:00:00+00:00,9783.282243616728
2026-09-03 00:00:00+00:00,9913.47205799914
2026-09-04 00:00:00+00:00,9835.61694971919
2026-09-05 00:00:00+00:00,9841.780408346733
2026-09-06 00:00:00+00:00,9840.970174078802
2026-09-07 00:00:00+00:00,9840.970174078802
2026-09-08 00:00:00+00:00,9840.970174078802
2026-09-09 00:00:00+00:00,9782.637623109706
2026-09-10 00:00:00+00:00,9710.755795041154
2026-09-11 00:00:00+00:00,9762.95990387091
2026-09-12 00:00:00+00:00,9773.095767059318
2026-09-13 00:00:00+00:00,9718.379064377003
2026-09-14 00:00:00+00:00,9772.56048227263
2026-09-15 00:00:00+00:00,9611.980797301556
2026-09-16 00:00:00+00:00,9611.980797301556
2026-09-17 00:00:00+00:00,9602.999846224498
2026-09-18 00:00:00+00:00,9663.980371274754
2026-09-19 00:00:00+00:00,9675.980931480004
2026-09-20 00:00:00+00:00,9678.715290672906
2026-09-21 00:00:00+00:00,9799.847565100117
2026-09-22 00:00:00+00:00,9785.937126599922
2026-09-23 00:00:00+00:00,9752.29722059511
2026-09-24 00:00:00+00:00,9751.969942219095
